       0Popstan
01     1Artesia                                           
0206   2Guma                                              
02060383Locality 38
02060473Locality 47
02060553Locality 55
02060643Locality 64
02060883Locality 88
02060933Locality 93
02061023Locality 102
02061143Locality 114
02061213Locality 121
02061513Locality 151
02061773Locality 177
02062063Locality 206
0207   2Gurnee                                            
02070023Locality 2
02070033Locality 3
02070053Locality 5
02070203Locality 20
02070223Locality 22
02070273Locality 27
02070303Locality 30
02070383Locality 38
02070413Locality 41
02070423Locality 42
02070443Locality 44
02070463Locality 46
02070493Locality 49
02070503Locality 50
02070563Locality 56
02070593Locality 59
02070613Locality 61
02070643Locality 64
02070693Locality 69
02070703Locality 70
02070713Locality 71
02070753Locality 75
02070793Locality 79
02070843Locality 84
02070963Locality 96
02070993Locality 99
02071033Locality 103
02071053Locality 105
02071113Locality 111
02071193Locality 119
02071283Locality 128
02071293Locality 129
02071343Locality 134
02071383Locality 138
02071423Locality 142
02071493Locality 149
02071533Locality 153
02071593Locality 159
02071653Locality 165
02071673Locality 167
02071783Locality 178
02071813Locality 181
02072123Locality 212
02072743Locality 274
0208   2India                                             
02080393Locality 39
02080483Locality 48
02080563Locality 56
02080703Locality 70
02080753Locality 75
02081153Locality 115
02081223Locality 122
02081783Locality 178
02082073Locality 207
0209   2Kumasi                                            
02090023Locality 2
02090063Locality 6
02090193Locality 19
02090263Locality 26
02090343Locality 34
02090403Locality 40
02090413Locality 41
02090433Locality 43
02090503Locality 50
02090563Locality 56
02090573Locality 57
02090633Locality 63
02090643Locality 64
02090653Locality 65
02090673Locality 67
02090683Locality 68
02090733Locality 73
02090793Locality 79
02090803Locality 80
02090833Locality 83
02090933Locality 93
02090963Locality 96
02090993Locality 99
02091153Locality 115
02091313Locality 131
02091463Locality 146
02091573Locality 157
02091603Locality 160
02091693Locality 169
02091713Locality 171
02091823Locality 182
02091913Locality 191
02092623Locality 262
0210   2Leyte                                             
02100083Locality 8
02100373Locality 37
02100463Locality 46
02100633Locality 63
02100643Locality 64
02100743Locality 74
02100873Locality 87
02101013Locality 101
02101033Locality 103
02101133Locality 113
02101203Locality 120
02101753Locality 175
02101763Locality 176
02101863Locality 186
02102053Locality 205
02102683Locality 268
0211   2Lipari                                            
02110013Locality 1
02110023Locality 2
02110043Locality 4
02110193Locality 19
02110213Locality 21
02110263Locality 26
02110373Locality 37
02110403Locality 40
02110413Locality 41
02110433Locality 43
02110453Locality 45
02110483Locality 48
02110493Locality 49
02110553Locality 55
02110583Locality 58
02110603Locality 60
02110633Locality 63
02110663Locality 66
02110683Locality 68
02110693Locality 69
02110703Locality 70
02110743Locality 74
02110783Locality 78
02110833Locality 83
02110893Locality 89
02110953Locality 95
02110983Locality 98
02111023Locality 102
02111043Locality 104
02111053Locality 105
02111103Locality 110
02111183Locality 118
02111273Locality 127
02111333Locality 133
02111373Locality 137
02111413Locality 141
02111483Locality 148
02111523Locality 152
02111553Locality 155
02111583Locality 158
02111643Locality 164
02111663Locality 166
02111753Locality 175
02111773Locality 177
02111803Locality 180
02111883Locality 188
02112113Locality 211
02112733Locality 273
0212   2Manno                                             
02120163Locality 16
02120573Locality 57
02120713Locality 71
02120763Locality 76
02121163Locality 116
02121233Locality 123
02122083Locality 208
0213   2Multan                                            
02130173Locality 17
02130723Locality 72
02131243Locality 124
02132093Locality 209
0214   2Mysore                                            
02140033Locality 3
02140213Locality 21
02140233Locality 23
02140283Locality 28
02140313Locality 31
02140393Locality 39
02140423Locality 42
02140453Locality 45
02140473Locality 47
02140513Locality 51
02140573Locality 57
02140603Locality 60
02140623Locality 62
02140643Locality 64
02140653Locality 65
02140703Locality 70
02140713Locality 71
02140723Locality 72
02140763Locality 76
02140803Locality 80
02140853Locality 85
02140903Locality 90
02140933Locality 93
02140953Locality 95
02140963Locality 96
02140973Locality 97
02141003Locality 100
02141063Locality 106
02141123Locality 112
02141303Locality 130
02141353Locality 135
02141393Locality 139
02141433Locality 143
02141543Locality 154
02141603Locality 160
02141653Locality 165
02141663Locality 166
02141683Locality 168
02141793Locality 179
02141823Locality 182
02141893Locality 189
02142133Locality 213
02142753Locality 275
0215   2Palma                                             
02150013Locality 1
02150023Locality 2
02150053Locality 5
02150233Locality 23
02150253Locality 25
02150333Locality 33
02150343Locality 34
02150393Locality 39
02150403Locality 40
02150413Locality 41
02150423Locality 42
02150493Locality 49
02150533Locality 53
02150553Locality 55
02150563Locality 56
02150623Locality 62
02150633Locality 63
02150643Locality 64
02150663Locality 66
02150673Locality 67
02150723Locality 72
02150733Locality 73
02150783Locality 78
02150793Locality 79
02150823Locality 82
02150873Locality 87
02150923Locality 92
02150953Locality 95
02150983Locality 98
02151143Locality 114
02151303Locality 130
02151453Locality 145
02151563Locality 156
02151683Locality 168
02151703Locality 170
02151813Locality 181
02152613Locality 261
0216   2Sita                                              
02160013Locality 1
02160033Locality 3
02160183Locality 18
02160193Locality 19
02160203Locality 20
02160253Locality 25
02160363Locality 36
02160393Locality 39
02160403Locality 40
02160423Locality 42
02160443Locality 44
02160473Locality 47
02160483Locality 48
02160543Locality 54
02160593Locality 59
02160623Locality 62
02160653Locality 65
02160673Locality 67
02160683Locality 68
02160693Locality 69
02160733Locality 73
02160773Locality 77
02160823Locality 82
02160883Locality 88
02160943Locality 94
02160973Locality 97
02161013Locality 101
02161033Locality 103
02161043Locality 104
02161093Locality 109
02161173Locality 117
02161263Locality 126
02161323Locality 132
02161363Locality 136
02161403Locality 140
02161473Locality 147
02161513Locality 151
02161543Locality 154
02161563Locality 156
02161573Locality 157
02161633Locality 163
02161653Locality 165
02161743Locality 174
02161763Locality 176
02161793Locality 179
02161873Locality 187
02162103Locality 210
02162723Locality 272
0217   2Sucra                                             
02170233Locality 23
02170343Locality 34
02170433Locality 43
02170473Locality 47
02170603Locality 60
02170613Locality 61
02170663Locality 66
02170713Locality 71
02170723Locality 72
02170793Locality 79
02170843Locality 84
02170873Locality 87
02170983Locality 98
02171003Locality 100
02171103Locality 110
02171173Locality 117
02171193Locality 119
02171353Locality 135
02171613Locality 161
02171733Locality 173
02171833Locality 183
02172663Locality 266
02172693Locality 269
0218   2Veracruz                                          
02180053Locality 5
02180223Locality 22
02180293Locality 29
02180333Locality 33
02180373Locality 37
02180423Locality 42
02180463Locality 46
02180593Locality 59
02180603Locality 60
02180673Locality 67
02180683Locality 68
02180703Locality 70
02180713Locality 71
02180763Locality 76
02180783Locality 78
02180833Locality 83
02180863Locality 86
02180973Locality 97
02180993Locality 99
02181023Locality 102
02181093Locality 109
02181183Locality 118
02181343Locality 134
02181603Locality 160
02181723Locality 172
02182653Locality 265
02182683Locality 268
03     1Dari                                              
0301   2Argentina                                         
03010033Locality 3
03010073Locality 7
03010103Locality 10
03010543Locality 54
03010673Locality 67
03010793Locality 79
03011343Locality 134
0302   2Benlata                                           
03020013Locality 1
03020123Locality 12
03020153Locality 15
03020183Locality 18
03020323Locality 32
03020333Locality 33
03020343Locality 34
03020443Locality 44
03020453Locality 45
03020463Locality 46
03020523Locality 52
03020533Locality 53
03020543Locality 54
03020623Locality 62
03020643Locality 64
03020663Locality 66
03020683Locality 68
03020723Locality 72
03020743Locality 74
03020753Locality 75
03020773Locality 77
03020783Locality 78
03020813Locality 81
03020863Locality 86
03020873Locality 87
03020883Locality 88
03020913Locality 91
03020943Locality 94
03020963Locality 96
03021053Locality 105
03021083Locality 108
03021123Locality 112
03021143Locality 114
03021183Locality 118
03021263Locality 126
03021273Locality 127
03021363Locality 136
03021413Locality 141
03021573Locality 157
03021683Locality 168
03021693Locality 169
03021803Locality 180
03021873Locality 187
03021913Locality 191
03021973Locality 197
03022043Locality 204
03022193Locality 219
03022743Locality 274
03022833Locality 283
0303   2Bristol                                           
03030013Locality 1
03030023Locality 2
03030093Locality 9
03030203Locality 20
03030233Locality 23
03030383Locality 38
03030523Locality 52
03030573Locality 57
03030583Locality 58
03030673Locality 67
03030773Locality 77
03030803Locality 80
03030963Locality 96
03030993Locality 99
03031133Locality 113
03031173Locality 117
03031233Locality 123
03031323Locality 132
03031623Locality 162
03031733Locality 173
03031743Locality 174
0304   2Cameroon                                          
03040073Locality 7
03040083Locality 8
03040113Locality 11
03040143Locality 14
03040173Locality 17
03040183Locality 18
03040303Locality 30
03040403Locality 40
03040423Locality 42
03040483Locality 48
03040493Locality 49
03040503Locality 50
03040563Locality 56
03040583Locality 58
03040603Locality 60
03040623Locality 62
03040683Locality 68
03040693Locality 69
03040713Locality 71
03040733Locality 73
03040753Locality 75
03040773Locality 77
03040803Locality 80
03040813Locality 81
03040823Locality 82
03040833Locality 83
03040843Locality 84
03040873Locality 87
03040903Locality 90
03040923Locality 92
03040933Locality 93
03040953Locality 95
03040993Locality 99
03041003Locality 100
03041043Locality 104
03041053Locality 105
03041083Locality 108
03041103Locality 110
03041143Locality 114
03041173Locality 117
03041183Locality 118
03041213Locality 121
03041223Locality 122
03041233Locality 123
03041323Locality 132
03041373Locality 137
03041433Locality 143
03041463Locality 146
03041493Locality 149
03041533Locality 153
03041543Locality 154
03041653Locality 165
03041763Locality 176
03041773Locality 177
03041793Locality 179
03041833Locality 183
03041853Locality 185
03041863Locality 186
03041883Locality 188
03041903Locality 190
03041933Locality 193
03042003Locality 200
03042153Locality 215
03042713Locality 271
03042783Locality 278
0305   2Cholo                                             
03050023Locality 2
03050033Locality 3
03050063Locality 6
03050213Locality 21
03050243Locality 24
03050533Locality 53
03050783Locality 78
03050813Locality 81
03051003Locality 100
03051243Locality 124
03051333Locality 133
03051753Locality 175
0306   2Dacca                                             
03060013Locality 1
03060193Locality 19
03060223Locality 22
03060363Locality 36
03060373Locality 37
03060513Locality 51
03060563Locality 56
03060573Locality 57
03060583Locality 58
03060663Locality 66
03060763Locality 76
03060783Locality 78
03060793Locality 79
03060883Locality 88
03060953Locality 95
03060983Locality 98
03061123Locality 112
03061163Locality 116
03061223Locality 122
03061313Locality 131
03061613Locality 161
03061723Locality 172
03061733Locality 173
03061983Locality 198
0307   2Gaya                                              
03070013Locality 1
03070103Locality 10
03070113Locality 11
03070143Locality 14
03070173Locality 17
03070313Locality 31
03070323Locality 32
03070333Locality 33
03070433Locality 43
03070443Locality 44
03070453Locality 45
03070513Locality 51
03070523Locality 52
03070533Locality 53
03070613Locality 61
03070633Locality 63
03070653Locality 65
03070673Locality 67
03070713Locality 71
03070733Locality 73
03070743Locality 74
03070763Locality 76
03070773Locality 77
03070803Locality 80
03070833Locality 83
03070853Locality 85
03070863Locality 86
03070873Locality 87
03070903Locality 90
03070933Locality 93
03070953Locality 95
03071043Locality 104
03071113Locality 111
03071133Locality 113
03071173Locality 117
03071203Locality 120
03071253Locality 125
03071353Locality 135
03071403Locality 140
03071563Locality 156
03071673Locality 167
03071683Locality 168
03071793Locality 179
03071863Locality 186
03071893Locality 189
03071943Locality 194
03071963Locality 196
03072033Locality 203
03072183Locality 218
03072733Locality 273
0308   2Hubli                                             
03080023Locality 2
03080133Locality 13
03080163Locality 16
03080193Locality 19
03080253Locality 25
03080333Locality 33
03080343Locality 34
03080353Locality 35
03080453Locality 45
03080463Locality 46
03080533Locality 53
03080543Locality 54
03080553Locality 55
03080633Locality 63
03080653Locality 65
03080693Locality 69
03080733Locality 73
03080753Locality 75
03080763Locality 76
03080783Locality 78
03080793Locality 79
03080873Locality 87
03080883Locality 88
03080893Locality 89
03080923Locality 92
03080953Locality 95
03080973Locality 97
03081063Locality 106
03081093Locality 109
03081133Locality 113
03081193Locality 119
03081273Locality 127
03081283Locality 128
03081313Locality 131
03081583Locality 158
03081693Locality 169
03081703Locality 170
03081813Locality 181
03081883Locality 188
03081923Locality 192
03081953Locality 195
03081983Locality 198
03082203Locality 220
03082843Locality 284
0309   2Malawi                                            
03090033Locality 3
03090053Locality 5
03090063Locality 6
03090093Locality 9
03090123Locality 12
03090153Locality 15
03090163Locality 16
03090193Locality 19
03090203Locality 20
03090233Locality 23
03090283Locality 28
03090383Locality 38
03090403Locality 40
03090433Locality 43
03090463Locality 46
03090483Locality 48
03090543Locality 54
03090563Locality 56
03090583Locality 58
03090603Locality 60
03090633Locality 63
03090663Locality 66
03090673Locality 67
03090693Locality 69
03090713Locality 71
03090733Locality 73
03090753Locality 75
03090763Locality 76
03090783Locality 78
03090793Locality 79
03090803Locality 80
03090813Locality 81
03090823Locality 82
03090833Locality 83
03090853Locality 85
03090883Locality 88
03090903Locality 90
03090913Locality 91
03090933Locality 93
03090963Locality 96
03090973Locality 97
03090983Locality 98
03091003Locality 100
03091013Locality 101
03091023Locality 102
03091033Locality 103
03091043Locality 104
03091063Locality 106
03091083Locality 108
03091093Locality 109
03091123Locality 112
03091153Locality 115
03091163Locality 116
03091193Locality 119
03091203Locality 120
03091213Locality 121
03091303Locality 130
03091353Locality 135
03091443Locality 144
03091473Locality 147
03091513Locality 151
03091523Locality 152
03091633Locality 163
03091643Locality 164
03091743Locality 174
03091753Locality 175
03091773Locality 177
03091833Locality 183
03091843Locality 184
03091863Locality 186
03091883Locality 188
03091913Locality 191
03091923Locality 192
03092693Locality 269
03092763Locality 276
03092793Locality 279
03092873Locality 287
0310   2Rocha                                             
03100023Locality 2
03100043Locality 4
03100053Locality 5
03100083Locality 8
03100113Locality 11
03100143Locality 14
03100153Locality 15
03100183Locality 18
03100193Locality 19
03100223Locality 22
03100273Locality 27
03100373Locality 37
03100383Locality 38
03100393Locality 39
03100423Locality 42
03100443Locality 44
03100453Locality 45
03100463Locality 46
03100473Locality 47
03100553Locality 55
03100573Locality 57
03100593Locality 59
03100643Locality 64
03100653Locality 65
03100663Locality 66
03100683Locality 68
03100703Locality 70
03100723Locality 72
03100743Locality 74
03100753Locality 75
03100773Locality 77
03100783Locality 78
03100793Locality 79
03100803Locality 80
03100813Locality 81
03100823Locality 82
03100843Locality 84
03100873Locality 87
03100893Locality 89
03100903Locality 90
03100923Locality 92
03100953Locality 95
03100963Locality 96
03100973Locality 97
03100993Locality 99
03101003Locality 100
03101013Locality 101
03101023Locality 102
03101033Locality 103
03101073Locality 107
03101083Locality 108
03101103Locality 110
03101113Locality 111
03101143Locality 114
03101153Locality 115
03101183Locality 118
03101203Locality 120
03101293Locality 129
03101343Locality 134
03101353Locality 135
03101413Locality 141
03101433Locality 143
03101463Locality 146
03101503Locality 150
03101513Locality 151
03101623Locality 162
03101633Locality 163
03101733Locality 173
03101743Locality 174
03101763Locality 176
03101823Locality 182
03101833Locality 183
03101843Locality 184
03101853Locality 185
03101873Locality 187
03101903Locality 190
03101913Locality 191
03101993Locality 199
03102753Locality 275
03102783Locality 278
03102863Locality 286
0311   2Rosario                                           
03110143Locality 14
03110173Locality 17
03110203Locality 20
03110343Locality 34
03110353Locality 35
03110363Locality 36
03110463Locality 46
03110543Locality 54
03110553Locality 55
03110563Locality 56
03110643Locality 64
03110663Locality 66
03110743Locality 74
03110763Locality 76
03110773Locality 77
03110803Locality 80
03110863Locality 86
03110883Locality 88
03110893Locality 89
03110933Locality 93
03110963Locality 96
03110983Locality 98
03111103Locality 110
03111143Locality 114
03111203Locality 120
03111283Locality 128
03111293Locality 129
03111323Locality 132
03111423Locality 142
03111593Locality 159
03111703Locality 170
03111713Locality 171
03111823Locality 182
03111893Locality 189
03111963Locality 196
03112213Locality 221
03112773Locality 277
03112853Locality 285
0312   2Salvador                                          
03120093Locality 9
03120103Locality 10
03120133Locality 13
03120163Locality 16
03120203Locality 20
03120303Locality 30
03120313Locality 31
03120323Locality 32
03120423Locality 42
03120433Locality 43
03120443Locality 44
03120503Locality 50
03120513Locality 51
03120523Locality 52
03120603Locality 60
03120623Locality 62
03120643Locality 64
03120663Locality 66
03120703Locality 70
03120713Locality 71
03120733Locality 73
03120753Locality 75
03120763Locality 76
03120793Locality 79
03120823Locality 82
03120843Locality 84
03120853Locality 85
03120863Locality 86
03120893Locality 89
03120923Locality 92
03120943Locality 94
03121013Locality 101
03121023Locality 102
03121073Locality 107
03121103Locality 110
03121123Locality 112
03121163Locality 116
03121203Locality 120
03121243Locality 124
03121253Locality 125
03121343Locality 134
03121393Locality 139
03121403Locality 140
03121453Locality 145
03121553Locality 155
03121663Locality 166
03121673Locality 167
03121783Locality 178
03121793Locality 179
03121813Locality 181
03121853Locality 185
03121883Locality 188
03121903Locality 190
03121933Locality 193
03121953Locality 195
03122023Locality 202
03122173Locality 217
03122723Locality 272
03122803Locality 280
03122823Locality 282
0313   2San Paulo                                         
03130083Locality 8
03130093Locality 9
03130123Locality 12
03130153Locality 15
03130183Locality 18
03130193Locality 19
03130303Locality 30
03130313Locality 31
03130413Locality 41
03130433Locality 43
03130493Locality 49
03130503Locality 50
03130513Locality 51
03130573Locality 57
03130593Locality 59
03130613Locality 61
03130633Locality 63
03130653Locality 65
03130693Locality 69
03130703Locality 70
03130723Locality 72
03130743Locality 74
03130753Locality 75
03130763Locality 76
03130783Locality 78
03130813Locality 81
03130833Locality 83
03130843Locality 84
03130853Locality 85
03130883Locality 88
03130913Locality 91
03130933Locality 93
03130943Locality 94
03131003Locality 100
03131013Locality 101
03131063Locality 106
03131093Locality 109
03131113Locality 111
03131123Locality 112
03131153Locality 115
03131193Locality 119
03131233Locality 123
03131243Locality 124
03131333Locality 133
03131383Locality 138
03131443Locality 144
03131503Locality 150
03131543Locality 154
03131663Locality 166
03131773Locality 177
03131783Locality 178
03131803Locality 180
03131843Locality 184
03131863Locality 186
03131873Locality 187
03131893Locality 189
03131923Locality 192
03131943Locality 194
03132013Locality 201
03132163Locality 216
03132793Locality 279
03132813Locality 281
03132883Locality 288
0314   2Senegal                                           
03140043Locality 4
03140183Locality 18
03140213Locality 21
03140263Locality 26
03140353Locality 35
03140363Locality 36
03140373Locality 37
03140553Locality 55
03140563Locality 56
03140573Locality 57
03140653Locality 65
03140673Locality 67
03140753Locality 75
03140773Locality 77
03140783Locality 78
03140873Locality 87
03140893Locality 89
03140903Locality 90
03140943Locality 94
03140973Locality 97
03140993Locality 99
03141113Locality 111
03141153Locality 115
03141213Locality 121
03141303Locality 130
03141333Locality 133
03141603Locality 160
03141713Locality 171
03141723Locality 172
03141973Locality 197
03142223Locality 222
0315   2Sharif                                            
03150043Locality 4
03150063Locality 6
03150073Locality 7
03150103Locality 10
03150133Locality 13
03150163Locality 16
03150173Locality 17
03150213Locality 21
03150243Locality 24
03150293Locality 29
03150393Locality 39
03150413Locality 41
03150443Locality 44
03150473Locality 47
03150493Locality 49
03150553Locality 55
03150573Locality 57
03150593Locality 59
03150613Locality 61
03150673Locality 67
03150683Locality 68
03150703Locality 70
03150723Locality 72
03150743Locality 74
03150763Locality 76
03150793Locality 79
03150803Locality 80
03150813Locality 81
03150823Locality 82
03150833Locality 83
03150863Locality 86
03150893Locality 89
03150913Locality 91
03150923Locality 92
03150943Locality 94
03150973Locality 97
03150983Locality 98
03150993Locality 99
03151023Locality 102
03151033Locality 103
03151043Locality 104
03151073Locality 107
03151093Locality 109
03151133Locality 113
03151163Locality 116
03151173Locality 117
03151203Locality 120
03151213Locality 121
03151223Locality 122
03151313Locality 131
03151363Locality 136
03151423Locality 142
03151453Locality 145
03151483Locality 148
03151523Locality 152
03151533Locality 153
03151643Locality 164
03151653Locality 165
03151753Locality 175
03151763Locality 176
03151783Locality 178
03151843Locality 184
03151853Locality 185
03151873Locality 187
03151893Locality 189
03151923Locality 192
03152143Locality 214
03152703Locality 270
03152773Locality 277
03152803Locality 280
04     1Eris                                              
0401   2Alwar                                             
04010093Locality 9
04010223Locality 22
04010243Locality 24
04010463Locality 46
04010613Locality 61
04010883Locality 88
04011063Locality 106
04011473Locality 147
04011843Locality 184
0402   2Chipoka                                           
04020033Locality 3
04020073Locality 7
04020083Locality 8
04020143Locality 14
04020243Locality 24
04020263Locality 26
04020283Locality 28
04020293Locality 29
04020423Locality 42
04020483Locality 48
04020523Locality 52
04020533Locality 53
04020623Locality 62
04020633Locality 63
04020713Locality 71
04020723Locality 72
04020843Locality 84
04020863Locality 86
04020913Locality 91
04020943Locality 94
04020963Locality 96
04020983Locality 98
04020993Locality 99
04021023Locality 102
04021073Locality 107
04021203Locality 120
04021223Locality 122
